id	pw	log2FoldChange
K01209	ko00520	-3.2644816601939
K00523	ko00520	3.53375301849206
K17716	ko00520	-3.79380842883197
K00965	ko00520	-3.20085551013177
K01810	ko00520	-3.56476677963039
K00849	ko00520	-5.5520929718756
K00983	ko00520	-3.71710880430382
K15778	ko00521	3.75281296453617
K02841	ko00540	3.14797005744465
K03274	ko00540	3.24631083304107
K02535	ko00540	2.90233716012459
K05367	ko00550	3.9181978348453
K06153	ko00550	-3.10763071293269
K01924	ko00550	-4.02726600209882
K00128	ko00561	3.66874623299616
K07407	ko00561	-5.17972011677866
K01114	ko00562	3.77874231346883
K00140	ko00562	3.80510314013669
K01771	ko00562	-3.02530030083531
K03736	ko00564	3.23922633440514
K00111	ko00564	4.38429334258282
K03735	ko00564	3.48164621561301
K00096	ko00564	-2.86509710893484
K01114	ko00564	3.77874231346883
K01114	ko00565	3.77874231346883
K00681	ko00590	4.16879924775071
K00100	ko00591	-3.19705828617099
K00508	ko00591	2.95923226876218
K07407	ko00600	-5.17972011677866
K01190	ko00600	-4.34000992753968
K07407	ko00603	-5.17972011677866
K07248	ko00620	3.45604080140508
K01007	ko00620	4.93668265236309
K02160	ko00620	-3.22074443914583
K00626	ko00620	4.18645998429569
K00101	ko00620	3.65090868090208
K01595	ko00620	3.68382889792252
K12972	ko00620	2.69426288234201
K00627	ko00620	3.70064340598123
K04073	ko00620	3.77160494444812
K00162	ko00620	2.85212868855628
K01069	ko00620	3.49015312180856
K00128	ko00620	3.66874623299616
K01572	ko00620	-4.87427527396705
K00048	ko00620	-4.82517296956064
K00102	ko00620	2.91507435567273
K02554	ko00621	2.88588994611872
K01617	ko00621	3.20040806857705
K04073	ko00621	3.77160494444812
K01617	ko00622	3.20040806857705
K04073	ko00622	3.77160494444812
K00446	ko00622	3.0294315464298
K02554	ko00622	2.88588994611872
K10217	ko00622	3.07664118778336
K03381	ko00623	2.73848572989633
K00492	ko00623	3.31897049168448
K01061	ko00623	3.42456393765603
K00449	ko00624	3.07025469260552
K00492	ko00624	3.31897049168448
K00128	ko00625	3.66874623299616
K13953	ko00625	4.088532705098
K00121	ko00625	3.69969223094566
K00114	ko00625	4.06340005167414
K00100	ko00625	-3.19705828617099
K00121	ko00626	3.69969223094566
K13953	ko00626	4.088532705098
K00492	ko00626	3.31897049168448
K14338	ko00627	4.38274532206473
K01077	ko00627	4.64004624859416
K01426	ko00627	3.44862712769167
K01113	ko00627	3.62910410110297
K09461	ko00627	4.38074776871708
K08295	ko00627	3.71531952806918
K00492	ko00627	3.31897049168448
K01721	ko00627	3.71408832493025
K01692	ko00627	4.17359632800296
K01034	ko00627	2.8371966564823
K01576	ko00627	3.75600586430925
K07248	ko00630	3.45604080140508
K01608	ko00630	3.84813625671828
K00124	ko00630	2.96626265745375
K00626	ko00630	4.18645998429569
K03781	ko00630	4.0184174397508
K00050	ko00630	2.84626197296147
K11473	ko00630	3.22275064050594
K01433	ko00630	3.44232087687092
K00127	ko00630	3.23247558616004
K12972	ko00630	2.69426288234201
K00048	ko00630	-4.82517296956064
K01682	ko00630	3.95546322087645
K00042	ko00630	4.18447113634928
K00284	ko00630	-3.50065381981604
K01432	ko00630	2.90349704439649
K01816	ko00630	3.84813625671828
K10680	ko00633	3.62496111818806
K01720	ko00640	4.20434630041526
K01505	ko00640	2.94964470708476
K01659	ko00640	3.40223901135476
K00249	ko00640	4.34180031442515
K00140	ko00640	3.80510314013669
K00626	ko00640	4.18645998429569
K01902	ko00640	3.21063659372229
K00128	ko00640	3.66874623299616
K01682	ko00640	3.95546322087645
K03417	ko00640	3.47435821798117
K00822	ko00640	3.74987922088056
K02160	ko00640	-3.22074443914583
K00114	ko00640	4.06340005167414
K01574	ko00640	3.57821723964489
K01908	ko00640	3.79626046021997
K01903	ko00640	3.71614461185984
K01692	ko00640	4.17359632800296
K01034	ko00640	2.8371966564823
K00451	ko00643	3.69137619803489
K00446	ko00643	3.0294315464298
K01039	ko00643	2.90302409282128
K01721	ko00643	3.71408832493025
K01426	ko00643	3.44862712769167
K01040	ko00643	2.83235311329966
K16171	ko00643	3.15388717175465
K00019	ko00650	3.00723030380234
K07518	ko00650	3.96925083026064
K00100	ko00650	-3.19705828617099
K01039	ko00650	2.90302409282128
K03821	ko00650	4.57264268522229
K01034	ko00650	2.8371966564823
K01040	ko00650	2.83235311329966
K00135	ko00650	4.8010699639886
K05973	ko00650	3.59768096979879
K01692	ko00650	4.17359632800296
K01907	ko00650	3.92517106085466
K00626	ko00650	4.18645998429569
K00162	ko00650	2.85212868855628
K04073	ko00650	3.77160494444812
K01902	ko00660	3.21063659372229
K01903	ko00660	3.71614461185984
K01433	ko00670	3.44232087687092
K00297	ko00670	-2.78853191259008
K01007	ko00680	4.93668265236309
K01623	ko00680	2.86547568930531
K00124	ko00680	2.96626265745375
K01624	ko00680	-3.0698198709821
K01595	ko00680	3.68382889792252
K00850	ko00680	-5.11880994575192
K00127	ko00680	3.23247558616004
K00121	ko00680	3.69969223094566
K01624	ko00710	-3.0698198709821
K01595	ko00710	3.68382889792252
K01807	ko00710	2.76487959464198
K01623	ko00710	2.86547568930531
K00177	ko00720	-2.91066087631374
K01595	ko00720	3.68382889792252
K00297	ko00720	-2.78853191259008
K00175	ko00720	-3.24130004079897
K00626	ko00720	4.18645998429569
K02160	ko00720	-3.22074443914583
K01007	ko00720	4.93668265236309
K01682	ko00720	3.95546322087645
K01903	ko00720	3.71614461185984
K01902	ko00720	3.21063659372229
K07516	ko00720	4.09736393124045
K03153	ko00730	3.09169031403022
K00299	ko00740	3.14158919758034
K04719	ko00740	2.73221182586219
K00275	ko00750	3.07037455618839
K08681	ko00750	-4.1115918821804
K06215	ko00750	-3.51241958953673
K03474	ko00750	2.86547568930531
K13522	ko00760	3.13781425168451
K06989	ko00760	3.0320669016999
K08722	ko00760	-3.33056020075246
K01464	ko00770	-3.21361908920281
K00077	ko00770	3.05757018112904
K01423	ko00780	3.09242204169382
K01012	ko00780	-5.57396629693078
K00208	ko00780	2.78656649664201
K00652	ko00780	3.61434135564992
K02169	ko00780	3.40051852742275
K03644	ko00785	2.93524116932752
K13940	ko00790	-2.84628095771595
K01113	ko00790	3.62910410110297
K06879	ko00790	3.22101264489298
K03342	ko00790	3.52902245347638
K01077	ko00790	4.64004624859416
K03382	ko00791	4.05841721645147
K01428	ko00791	3.99327778784685
K13953	ko00830	4.088532705098
K00121	ko00830	3.69969223094566
K02227	ko00860	3.80125433591076
K02232	ko00860	4.01264465995742
K02303	ko00860	2.7551915479293
K02233	ko00860	2.79690501848974
K01845	ko00860	3.47820982963943
K00228	ko00860	3.34801197535729
K02259	ko00860	3.65277325247346
K00231	ko00860	3.47027305023583
K02225	ko00860	3.12016115512898
K01772	ko00860	3.22101264489298
K01770	ko00900	-4.86641158914488
K00795	ko00900	3.08058421473879
K06013	ko00900	3.25850315001634
K00626	ko00900	4.18645998429569
K00492	ko00903	3.31897049168448
K01692	ko00903	4.17359632800296
K00128	ko00903	3.66874623299616
K15576	ko00910	3.26060772745625
K00262	ko00910	-4.96022063311946
K00459	ko00910	4.19957397862514
K15371	ko00910	4.88400618395725
K00265	ko00910	3.85363302002533
K02575	ko00910	3.74685546486127
K15577	ko00910	3.03115701562605
K04561	ko00910	3.48233954083952
K00261	ko00910	3.51724793202716
K05601	ko00910	-3.91468128574103
K00362	ko00910	4.57046750461668
K00284	ko00910	-3.50065381981604
K00372	ko00910	4.14873938450835
K15553	ko00920	4.3570302871548
K03119	ko00920	3.30030461802192
K17222	ko00920	3.43780982853552
K02046	ko00920	3.05685935144469
K00381	ko00920	2.75752359075003
K00380	ko00920	2.94069753421304
K17224	ko00920	3.52470569091082
K15554	ko00920	3.74302740242212
K08738	ko00920	2.77163347012097
K02048	ko00920	3.30668454963872
K17228	ko00920	2.73246179591174
K00955	ko00920	3.98246286852175
K17226	ko00920	2.8222181030847
K12339	ko00920	3.0750379954409
K04091	ko00920	3.58350442736739
K15555	ko00920	3.03174458299234
K17223	ko00920	3.11047626648369
K15551	ko00920	2.9836507045888
K01053	ko00930	3.60918375377066
K01692	ko00930	4.17359632800296
K03782	ko00940	3.955484216111
K05350	ko00940	-3.0911655341002
K05349	ko00940	-5.05836080689661
K00832	ko00950	4.03268797971541
K00813	ko00950	3.28421386616642
K00832	ko00960	4.03268797971541
K00813	ko00960	3.28421386616642
K00808	ko00960	3.03354641196246
K01879	ko00970	3.97067001653239
K04567	ko00970	-2.54504367244983
K01869	ko00970	-3.4588608982015
K01884	ko00970	4.83344357296728
K01868	ko00970	-3.84262991003329
K01893	ko00970	-3.10965857426431
K01878	ko00970	3.08442156354597
K00121	ko00980	3.69969223094566
K13953	ko00980	4.088532705098
K00799	ko00980	4.51458218676792
K00121	ko00982	3.69969223094566
K13953	ko00982	4.088532705098
K00799	ko00982	4.51458218676792
K01464	ko00983	-3.21361908920281
K00758	ko00983	4.66809786164099
K05898	ko00984	3.56926660309044
K15983	ko00984	3.07456879082321
K05296	ko00984	3.22926231056726
K16050	ko00984	3.18999288196207
K16047	ko00984	3.0294315464298
K16049	ko00984	2.8881870749342
K03333	ko00984	3.5820056734463
K15982	ko00984	4.02314878716566
K00507	ko01040	3.94966404324548
K10804	ko01040	3.47263105335585
K01779	ko01054	-2.92024303668425
K01807	ko01200	2.76487959464198
K00627	ko01200	3.70064340598123
K00124	ko01200	2.96626265745375
K01595	ko01200	3.68382889792252
K02160	ko01200	-3.22074443914583
K01007	ko01200	4.93668265236309
K01623	ko01200	2.86547568930531
K01902	ko01200	3.21063659372229
K12339	ko01200	3.0750379954409
K00175	ko01200	-3.24130004079897
K00036	ko01200	3.45895791741912
K00851	ko01200	2.81043903502085
K00121	ko01200	3.69969223094566
K00127	ko01200	3.23247558616004
K00177	ko01200	-2.91066087631374
K01624	ko01200	-3.0698198709821
K01053	ko01200	3.60918375377066
K00162	ko01200	2.85212868855628
K01690	ko01200	3.55349205640036
K01057	ko01200	3.16894852107146
K00297	ko01200	-2.78853191259008
K01903	ko01200	3.71614461185984
K01810	ko01200	-3.56476677963039
K00626	ko01200	4.18645998429569
K00874	ko01200	3.11582254641099
K00281	ko01200	4.63459286834443
K00850	ko01200	-5.11880994575192
K01682	ko01200	3.95546322087645
K07516	ko01200	4.09736393124045
K00813	ko01210	3.28421386616642
K00052	ko01210	-2.80778730914628
K00836	ko01210	-4.49931695033803
K00619	ko01210	3.43826852770828
K01438	ko01210	3.13060790733662
K14260	ko01210	4.00334455969212
K01682	ko01210	3.95546322087645
K02160	ko01212	-3.22074443914583
K02371	ko01212	-3.82203108792139
K07516	ko01212	4.09736393124045
K06445	ko01212	4.24382214969443
K00249	ko01212	4.34180031442515
K00507	ko01212	3.94966404324548
K00626	ko01212	4.18645998429569
K01692	ko01212	4.17359632800296
K00208	ko01212	2.78656649664201
K00449	ko01220	3.07025469260552
K16049	ko01220	2.8881870749342
K16050	ko01220	3.18999288196207
K10217	ko01220	3.07664118778336
K03381	ko01220	2.73848572989633
K05712	ko01220	3.74148550276686
K00446	ko01220	3.0294315464298
K00151	ko01220	3.96825605173523
K02554	ko01220	2.88588994611872
K01857	ko01220	3.11582254641099
K13953	ko01220	4.088532705098
K00121	ko01220	3.69969223094566
K00481	ko01220	3.6730954346365
K01053	ko01220	3.60918375377066
K01055	ko01220	4.17514818902748
K05921	ko01220	3.37804575464353
K01617	ko01220	3.20040806857705
K00265	ko01230	3.85363302002533
K00813	ko01230	3.28421386616642
K00836	ko01230	-4.49931695033803
K01438	ko01230	3.13060790733662
K01758	ko01230	3.11015837462989
K01807	ko01230	2.76487959464198
K00850	ko01230	-5.11880994575192
K13497	ko01230	-4.60196919122544
K01623	ko01230	2.86547568930531
K01658	ko01230	-2.80206165568669
K14260	ko01230	4.00334455969212
K00052	ko01230	-2.80778730914628
K01624	ko01230	-3.0698198709821
K01914	ko01230	-4.57655070602922
K02204	ko01230	3.3725705808398
K01682	ko01230	3.95546322087645
K03340	ko01230	-5.26491040448297
K00500	ko01230	2.99747923889201
K00619	ko01230	3.43826852770828
K00832	ko01230	4.03268797971541
K00872	ko01230	-4.64618278332598
K12339	ko01230	3.0750379954409
K10025	ko02010	2.74898093226041
K01996	ko02010	4.03643359448677
K09694	ko02010	2.78022036829969
K10002	ko02010	3.76254018620389
K01998	ko02010	3.96772955874253
K01995	ko02010	3.8064914492826
K10229	ko02010	2.86808856210793
K13895	ko02010	3.15931292759517
K10544	ko02010	2.95051384648068
K01997	ko02010	4.74825086109207
K17325	ko02010	3.07768934860221
K05772	ko02010	3.02931041791337
K11963	ko02010	3.56544526012625
K17322	ko02010	2.76487959464198
K13893	ko02010	4.11242165026193
K13896	ko02010	2.98116258043651
K17324	ko02010	3.20150846506398
K10001	ko02010	5.40370198260523
K02046	ko02010	3.05685935144469
K11051	ko02010	-4.30714675028675
K03523	ko02010	-3.84758469135557
K11961	ko02010	3.54506869493833
K01999	ko02010	5.04188983766834
K06148	ko02010	-5.5101148362067
K13891	ko02010	3.21495236764793
K10539	ko02010	3.56241640205825
K09972	ko02010	2.87990076585969
K06857	ko02010	2.8619920053965
K13894	ko02010	3.63687808164553
K13892	ko02010	3.89107395246477
K11960	ko02010	2.96860402509635
K11962	ko02010	3.10772546098591
K09695	ko02010	2.96138310136545
K09692	ko02010	-5.08027092573322
K02001	ko02010	3.27907031174841
K17321	ko02010	4.01756231358814
K05813	ko02010	3.30162058221441
K05814	ko02010	3.51669441425084
K10545	ko02010	3.79214602073544
K13890	ko02010	3.21838662776815
K05846	ko02010	3.31868405659616
K02020	ko02010	3.14729413286185
K15554	ko02010	3.74302740242212
K15553	ko02010	4.3570302871548
K10538	ko02010	3.21064401240865
K11050	ko02010	-4.16874014457973
K02471	ko02010	3.52260613179367
K10004	ko02010	4.26017853977037
K10543	ko02010	3.25504613385313
K02048	ko02010	3.30668454963872
K02011	ko02010	3.32774243855371
K13889	ko02010	4.26056094121062
K10003	ko02010	3.30489049853107
K15551	ko02010	2.9836507045888
K15555	ko02010	3.03174458299234
K05847	ko02010	2.8371966564823
K11959	ko02010	3.56175849191308
K15577	ko02010	3.03115701562605
K10537	ko02010	3.13243239734313
K10192	ko02010	-4.21121051174885
K02002	ko02010	2.9455665028543
K15576	ko02010	3.26060772745625
K01546	ko02020	4.94676996309591
K07644	ko02020	5.03089069812379
K07712	ko02020	3.44213419590171
K08372	ko02020	-3.44305344995762
K07718	ko02020	-3.18789503561227
K05874	ko02020	3.86468579597076
K13486	ko02020	3.16309358954773
K10001	ko02020	5.40370198260523
K07649	ko02020	4.84048054408136
K07708	ko02020	3.37406539444483
K00404	ko02020	3.45360623166555
K07646	ko02020	3.79104244223
K01113	ko02020	3.62910410110297
K10125	ko02020	4.46699999813511
K07636	ko02020	-4.71375633652594
K02657	ko02020	2.99242126329608
K00412	ko02020	3.63803133980791
K07642	ko02020	3.00147144199665
K01644	ko02020	3.47856178509378
K07679	ko02020	3.18579878256485
K07687	ko02020	3.72639591420783
K02259	ko02020	3.65277325247346
K15011	ko02020	3.29565563701756
K07665	ko02020	3.91191647525317
K07659	ko02020	3.05938638299751
K07658	ko02020	-4.83529926880305
K07667	ko02020	2.75810394123637
K07813	ko02020	-2.78350460178683
K10126	ko02020	3.89418313504557
K08738	ko02020	2.77163347012097
K07787	ko02020	3.65591920631587
K07638	ko02020	2.89298478787987
K01077	ko02020	4.64004624859416
K07788	ko02020	4.04804850054923
K01034	ko02020	2.8371966564823
K03092	ko02020	3.38526650120699
K01548	ko02020	3.1804258107904
K02660	ko02020	4.058530306348
K00413	ko02020	3.24075075023
K06596	ko02020	4.04558396581506
K10004	ko02020	4.26017853977037
K00990	ko02020	4.50606855138922
K02658	ko02020	3.09815710364269
K11103	ko02020	3.75287954183776
K07789	ko02020	4.32338584060049
K03776	ko02020	4.60127978181151
K11616	ko02020	3.8408486563434
K00626	ko02020	4.18645998429569
K01547	ko02020	3.41257635986983
K07657	ko02020	3.8408486563434
K11444	ko02020	3.3247968680658
K13490	ko02020	3.81018718777039
K10002	ko02020	3.76254018620389
K07782	ko02020	3.0270053973458
K03412	ko02020	2.83970750364862
K10003	ko02020	3.30489049853107
K03776	ko02030	4.60127978181151
K02410	ko02030	5.01517113478112
K05874	ko02030	3.86468579597076
K02416	ko02030	3.6561328896611
K03412	ko02030	2.83970750364862
K02416	ko02040	3.6561328896611
K02407	ko02040	4.10089583291029
K02409	ko02040	4.62752017632429
K02408	ko02040	3.29473006624922
K02414	ko02040	2.9455665028543
K02411	ko02040	4.2111900905724
K02413	ko02040	3.66522430417854
K02397	ko02040	2.97390926390324
K02410	ko02040	5.01517113478112
K02419	ko02040	3.22101264489298
K02412	ko02040	4.3139650832782
K02392	ko02040	3.52291874298994
K02390	ko02040	3.63940418705763
K02421	ko02040	3.07025469260552
K02888	ko03010	-2.60006059203208
K02897	ko03010	2.99955386835496
K00970	ko03018	3.42397365861173
K00937	ko03018	-5.94687921364517
