SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,id,Indegree,IsSingleNode,moduland_bridgeness,moduland_overlap,Module_Color,name,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
98,4.14187643,7.88E-04,0.24143646,0.54809725,15,85,K11389,41,FALSE,3.417829037,4.396485806,53,K11389,51.25,44,41,FALSE,0,K11389,1571213
99,4.14187643,7.88E-04,0.24143646,0.54809725,15,85,K00131,41,FALSE,3.417829037,4.396485806,53,K00131,51.25,44,41,FALSE,0,K00131,1571213
100,3.60783753,0.00548254,0.27717434,0.34808751,14,372,K00169,192,FALSE,6.772342205,1.941576958,0,K00169,105.0588235,180,168,FALSE,0,K00169,130670270
101,3.91533181,0.00275869,0.2554062,0.40683606,15,113,K03738,55,FALSE,11.23617172,6.55880022,24,K03738,52.74137931,58,55,FALSE,0,K03738,4616513
102,4.47969108,4.01E-05,0.22322968,0.67099567,16,44,K01837,22,FALSE,0.674983978,6.592132092,53,K01837,32.36363636,22,22,FALSE,0,K01837,69155
103,3.80091533,0.00302762,0.26309452,0.57747244,15,215,K01895,110,FALSE,2.872679949,3.235227108,0,K01895,111.8157895,105,101,FALSE,0,K01895,37172749
104,4.22282609,0.00569126,0.23680824,0.34699367,16,150,K00918,77,FALSE,3.07091403,1.232735991,24,K00918,48.85,73,70,FALSE,0,K00918,24244405
105,4.45451945,5.41E-04,0.22449111,0.52470588,16,95,K08074,49,FALSE,0.304412991,1.290088058,24,K08074,50.54901961,46,44,FALSE,0,K08074,2066609
106,3.99799771,1.89E-04,0.25012521,0.88227513,15,55,K00114,28,FALSE,1.786023021,6.302989006,0,K00114,71.60714286,27,27,FALSE,0,K00114,412924
107,4.48083524,2.15E-05,0.22317268,0.86928105,16,36,K15633,18,FALSE,0.677967012,7.769515991,53,K15633,32.66666667,18,18,FALSE,0,K15633,51599
108,4.43306636,7.30E-05,0.22557749,0.67317073,15,76,K00239,40,FALSE,4.113165855,9.254037857,0,K00239,51.12195122,36,35,FALSE,0,K00239,802298
109,3.9284897,0.00151934,0.25455075,0.37548263,14,202,K00174,101,FALSE,16.33602333,4.907664776,0,K00174,100.9464286,101,90,FALSE,0,K00174,17198185
110,4.04262014,0.00216578,0.24736432,0.31969641,15,99,K00164,49,FALSE,17.7028923,7.362105846,0,K00164,90.12162162,50,25,FALSE,0,K00164,6930589
111,4.26115561,7.58E-04,0.23467812,0.41089371,15,88,K00658,57,FALSE,67.68392944,7.42374897,0,K00658,95.66129032,31,26,FALSE,0,K00658,4262329
112,4.39273455,4.06E-04,0.22764863,0.46229261,15,91,K01902,49,FALSE,7.261807919,6.034038067,48,K01902,65.36538462,42,39,FALSE,0,K01902,3485366
113,4.39273455,2.72E-04,0.22764863,0.48039216,15,90,K01899,48,FALSE,7.208703995,6.044229984,48,K01899,66.58823529,42,39,FALSE,0,K01899,2669007
114,4.14845538,0.00237969,0.24105358,0.43674216,14,124,K00031,88,FALSE,102.5954437,4.895284176,0,K00031,102.4893617,36,30,FALSE,0,K00031,9924367
115,4.17191076,8.68E-05,0.23969832,0.69744745,14,65,K00030,31,FALSE,1.87886095,6.460251808,0,K00030,112.027027,34,28,FALSE,0,K00030,310108
116,3.87156751,0.00142952,0.25829331,0.59122939,15,222,K01648,112,FALSE,2.038501978,2.633622885,0,K01648,120.0344828,110,106,FALSE,0,K01648,43600137
117,4.43306636,7.30E-05,0.22557749,0.67317073,15,76,K00234,40,FALSE,4.113165855,9.254037857,0,K00234,51.12195122,36,35,FALSE,0,K00234,802298
118,4.35411899,7.75E-05,0.22966759,0.60182927,15,80,K01676,40,FALSE,2.207317114,6.832839012,56,K01676,55.51219512,40,39,FALSE,0,K01676,1157205
119,4.66533181,2.31E-04,0.21434703,0.42640693,15,42,K01681,21,FALSE,0.033259999,3.577296019,0,K01681,66,21,20,FALSE,0,K01681,1905994
120,3.87156751,0.00142952,0.25829331,0.59122939,15,222,K01647,112,FALSE,2.038501978,2.633622885,0,K01647,120.0344828,110,106,FALSE,0,K01647,43600137
121,4.27688787,8.97E-05,0.23381487,0.64014801,15,92,K00025,47,FALSE,2.945873022,6.125926018,0,K00025,95.95744681,45,45,FALSE,0,K00025,239528
122,3.77745995,5.38E-04,0.26472815,0.61007302,14,185,K01958,95,FALSE,3.881810904,3.688956976,0,K01958,115.2783505,90,88,FALSE,0,K01958,4754119
123,3.87156751,0.00142952,0.25829331,0.59122939,15,222,K01643,112,FALSE,2.038501978,2.633622885,0,K01643,120.0344828,110,106,FALSE,0,K01643,43600137
124,4.14216247,8.58E-04,0.24141979,0.51111111,14,82,K17753,40,FALSE,3.254117966,6.428634167,0,K17753,95.8,42,37,FALSE,0,K17753,1491163
125,4.84643981,0.00187369,0.20633703,0.77777778,16,9,K05774,1,FALSE,163.9779053,12.42898083,65,K05774,22,8,0,FALSE,0,K05774,2289763
126,3.68306636,0.01189562,0.27151289,0.38644112,14,228,K01625,119,FALSE,47.52978134,4.484159946,0,K01625,98.67741935,109,104,FALSE,0,K01625,79347462
127,4.79776888,1.43E-06,0.20843022,0.56043956,16,23,K00852,14,FALSE,1.204275966,3.558748007,24,K00852,30.35714286,9,9,FALSE,0,K00852,438
128,4.79776888,1.79E-04,0.20843022,0.49047619,16,24,K01839,15,FALSE,12.51396942,4.040789127,24,K01839,29.93333333,9,9,FALSE,0,K01839,287135
129,4.22282609,6.06E-04,0.23680824,0.75473485,15,63,K01619,30,FALSE,2.155711889,3.870381117,24,K01619,58.3030303,33,30,FALSE,0,K01619,4471494
